Designator,Footprint,Quantity,Value,JLC Part #
BZ1,MagneticBuzzer_PUI_AT-0927-TT-6-R,1,Buzzer,DNP
"C1, C4, C5",402,3,0.1uF,C1525
"C10, C7, C8",603,3,10uF,C19702
C11,402,1,100nF,C1525
C2,402,1,220nF,C16772
C3,402,1,10uF,C19702
C6,603,1,100nF,C1590
C9,603,1,22uF,C59461
"D1, D2, D3",603,3,LED,
"J1, J2",TE_282837-2,2,282837-2,DNP
"J10, J11",PinHeader_1x01_P2.54mm_Vertical,2,Conn_01x01,DNP
"J12, J13",U.FL_Molex_MCRF_73412-0110_Vertical,2,Conn_Coaxial,C5137195
"J3, J4",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,DNP
J5,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,C157932
"J6, J7",Molex_SL_171971-0024_1x24_P2.54mm_Vertical,2,Conn_01x24,DNP
"J8, J9",SMA_Amphenol_132134-10_Vertical,2,Conn_Coaxial,C3174425
"M1, M2",PinHeader_1x03_P2.54mm_Vertical,2,Motor_Servo,DNP
Q1,SOIC127P600X175-8N,1,SI4925DDY-T1-GE3,C4355030
Q2,SOT-23,1,MMBT3904,C58011
Q3,SOT-23,1,MMBT3904,C58011
"R1, R3",603,2,10K,C25804
"R10, R11, R9",603,3,150,C103302
R14,603,1,1.2k,C22765
"R15, R7, R8",603,3,4.7k,C23162
"R2, R4",603,2,1K,C21190
"S1, S2",SW_KMR221GLFS,2,KMR221GLFS,C72443
"TP1, TP4, TP5, TP6, TP7",TestPoint_Pad_1.0x1.0mm,5,TestPoint,
"TP2, TP3",PinHeader_1x01_P2.54mm_Vertical,2,TestPoint,DNP
U1,Teensy41,1,Teensy4.1,DNP
U2,LGA-8_3x5mm_P1.25mm,1,MS5607-02BA,C97627
U3,PQFN50P450X300X100-16N,1,BMI088,C194919
U4,TO-252-5_TabPin3,1,MIC29302AWD,C478084
U5,ublox_MAX,1,MAX-M10S,DNP
U6,HOPERF_RFM9XW_SMD,1,RFM95W-915S2,DNP
U7,SOT-223-3_TabPin2,1,LD1117S50TR_SOT223,C18723570
U8,PQFN50P200X200X70-12N,1,LIS2MDLTR,C919695